internal_accession	sample_name	gb_accession	date_added	seq_accession
	CVA6_210053126402_FRA_2021	OK635720	2024-08-07	OK635720
	CVA6_210040920002_FRA_2021	OK635663	2024-08-07	OK635663
	CVA6_210054498902_FRA_2021	OK635723	2024-08-07	OK635723
	CVA6_210052653702_FRA_2021	OK635716	2024-08-07	OK635716
	CVA6_210042204602_FRA_2021	OK635673	2024-08-07	OK635673
	CVA6_210055795702_FRA_2021	OK635734	2024-08-07	OK635734
	CVA6_210041368502_FRA_2021	OK635666	2024-08-07	OK635666
	CVA6_170069303302_FRA_2017	MT814562	2024-08-07	MT814562
	CVA6_210041594002_FRA_2021	OK635671	2024-08-07	OK635671
	CVA6_210044721402_FRA_2021	OK635681	2024-08-07	OK635681
	CVA6_210040429702_FRA_2021	OK635651	2024-08-07	OK635651
	CVA6_210039599202_FRA_2021	OK635644	2024-08-07	OK635644
	CVA6_210040534102_FRA_2021	OK635656	2024-08-07	OK635656
	CVA6_210039598902_FRA_2021	OK635643	2024-08-07	OK635643
	CVA6_210055795002_FRA_2021	OK635732	2024-08-07	OK635732
	CVA6_210051779602_FRA_2021	OK635711	2024-08-07	OK635711
	CVA6_210047452001_FRA_2021	OK635780	2024-08-07	OK635780
	CVA6_210040430402_FRA_2021	OK635652	2024-08-07	OK635652
	CVA6_210040534002_FRA_2021	OK635655	2024-08-07	OK635655
	CVA6_210052655102_FRA_2021	OK635718	2024-08-07	OK635718
	CVA6_210051779702_FRA_2021	OK635712	2024-08-07	OK635712
	CVA6_210055797802_FRA_2021	OK635738	2024-08-07	OK635738
	CVA6_210055797302_FRA_2021	OK635737	2024-08-07	OK635737
	CVA6_210052321702_FRA_2021	OK635715	2024-08-07	OK635715
	CVA6_210041355902_FRA_2021	OK635664	2024-08-07	OK635664
	CVA6_210040000701_FRA_2021	OK635648	2024-08-07	OK635648
	CVA6_210043145302_FRA_2021	OK635680	2024-08-07	OK635680
	CVA6_210042645402_FRA_2021	OK635676	2024-08-07	OK635676
	CVA6_210039595402_FRA_2021	OK635640	2024-08-07	OK635640
	CVA6_210040535102_FRA_2021	OK635658	2024-08-07	OK635658
	gi|2156866334|gb|MW075633.1| Coxsackievirus A6 isolate AS388/NC/CHN/2015 capsid protein gene, partial cds	MW075633	2024-08-07	MW075633
	gi|2156866336|gb|MW075634.1| Coxsackievirus A6 isolate AS411/NC/CHN/2015 capsid protein gene, partial cds	MW075634	2024-08-07	MW075634
	gi|2156866338|gb|MW075635.1| Coxsackievirus A6 isolate AS641/NC/CHN/2016 capsid protein gene, partial cds	MW075635	2024-08-07	MW075635
	gi|2156866340|gb|MW075636.1| Coxsackievirus A6 isolate AS642/NC/CHN/2016 capsid protein gene, partial cds	MW075636	2024-08-07	MW075636
	gi|2156866342|gb|MW075637.1| Coxsackievirus A6 isolate AS711/NC/CHN/2016 capsid protein gene, partial cds	MW075637	2024-08-07	MW075637
	gi|2156866344|gb|MW075638.1| Coxsackievirus A6 isolate AS712/NC/CHN/2016 capsid protein gene, partial cds	MW075638	2024-08-07	MW075638
	gi|2156866346|gb|MW075639.1| Coxsackievirus A6 isolate AS363/NC/CHN/2017 capsid protein gene, partial cds	MW075639	2024-08-07	MW075639
	gi|2156866348|gb|MW075640.1| Coxsackievirus A6 isolate AS268/NC/CHN/2017 capsid protein gene, partial cds	MW075640	2024-08-07	MW075640
	gi|2156866350|gb|MW075641.1| Coxsackievirus A6 isolate AS521/NC/CHN/2018 capsid protein gene, partial cds	MW075641	2024-08-07	MW075641
	gi|2156866352|gb|MW075642.1| Coxsackievirus A6 isolate AS121/NC/CHN/2019 capsid protein gene, partial cds	MW075642	2024-08-07	MW075642
	gi|2326806849|gb|OL677506.1| Coxsackievirus A6 strain AS143/NC/CHN/2015 VP1 gene, partial cds	OL677506	2024-08-07	OL677506
	gi|2326806851|gb|OL677507.1| Coxsackievirus A6 strain AS402/NC/CHN/2015 VP1 gene, partial cds	OL677507	2024-08-07	OL677507
	gi|2326806853|gb|OL677508.1| Coxsackievirus A6 strain AS497/NC/CHN/2018 VP1 gene, partial cds	OL677508	2024-08-07	OL677508
	gi|2326806855|gb|OL677509.1| Coxsackievirus A6 strain AS158/NC/CHN/2019 VP1 gene, partial cds	OL677509	2024-08-07	OL677509
	gi|2326806857|gb|OL677510.1| Coxsackievirus A6 strain AS639/NC/CHN/2016 VP1 gene, partial cds	OL677510	2024-08-07	OL677510
	gi|2326814922|gb|OL688664.1| Coxsackievirus A6 strain AS364/NC/CHN/2013 VP1 gene, partial cds	OL688664	2024-08-07	OL688664
	gi|2326814924|gb|OL688665.1| Coxsackievirus A6 strain AS370/NC/CHN/2013 VP1 gene, partial cds	OL688665	2024-08-07	OL688665
	gi|2326814926|gb|OL688666.1| Coxsackievirus A6 strain AS375/NC/CHN/2013 VP1 gene, partial cds	OL688666	2024-08-07	OL688666
	gi|2326814928|gb|OL688667.1| Coxsackievirus A6 strain AS376/NC/CHN/2013 VP1 gene, partial cds	OL688667	2024-08-07	OL688667
	gi|2326814930|gb|OL688668.1| Coxsackievirus A6 strain AS379/NC/CHN/2013 VP1 gene, partial cds	OL688668	2024-08-07	OL688668
	gi|2326814932|gb|OL688669.1| Coxsackievirus A6 strain AS386/NC/CHN/2013 VP1 gene, partial cds	OL688669	2024-08-07	OL688669
	gi|2326814934|gb|OL688670.1| Coxsackievirus A6 strain AS400/NC/CHN/2013 VP1 gene, partial cds	OL688670	2024-08-07	OL688670
	gi|2326814936|gb|OL688671.1| Coxsackievirus A6 strain AS425/NC/CHN/2013 VP1 gene, partial cds	OL688671	2024-08-07	OL688671
	gi|2326814938|gb|OL688672.1| Coxsackievirus A6 strain AS427/NC/CHN/2013 VP1 gene, partial cds	OL688672	2024-08-07	OL688672
	gi|2326814940|gb|OL688673.1| Coxsackievirus A6 strain AS431/NC/CHN/2013 VP1 gene, partial cds	OL688673	2024-08-07	OL688673
	gi|2326814942|gb|OL688674.1| Coxsackievirus A6 strain AS439/NC/CHN/2013 VP1 gene, partial cds	OL688674	2024-08-07	OL688674
	gi|2326814944|gb|OL688675.1| Coxsackievirus A6 strain AS457/NC/CHN/2013 VP1 gene, partial cds	OL688675	2024-08-07	OL688675
	gi|2326814946|gb|OL688676.1| Coxsackievirus A6 strain AS460/NC/CHN/2013 VP1 gene, partial cds	OL688676	2024-08-07	OL688676
	gi|2326814948|gb|OL688677.1| Coxsackievirus A6 strain AS462/NC/CHN/2013 VP1 gene, partial cds	OL688677	2024-08-07	OL688677
	gi|2326814950|gb|OL688678.1| Coxsackievirus A6 strain AS473/NC/CHN/2013 VP1 gene, partial cds	OL688678	2024-08-07	OL688678
	gi|2326814952|gb|OL688679.1| Coxsackievirus A6 strain AS008/NC/CHN/2015 VP1 gene, partial cds	OL688679	2024-08-07	OL688679
	gi|2326814954|gb|OL688680.1| Coxsackievirus A6 strain AS009/NC/CHN/2015 VP1 gene, partial cds	OL688680	2024-08-07	OL688680
	gi|2326814956|gb|OL688681.1| Coxsackievirus A6 strain AS057/NC/CHN/2015 VP1 gene, partial cds	OL688681	2024-08-07	OL688681
	gi|2326814958|gb|OL688682.1| Coxsackievirus A6 strain AS264/NC/CHN/2015 VP1 gene, partial cds	OL688682	2024-08-07	OL688682
	gi|2326814960|gb|OL688683.1| Coxsackievirus A6 strain AS459/NC/CHN/2015 VP1 gene, partial cds	OL688683	2024-08-07	OL688683
	gi|2326814962|gb|OL688684.1| Coxsackievirus A6 strain AS460c/NC/CHN/2015 VP1 gene, partial cds	OL688684	2024-08-07	OL688684
	gi|2326814964|gb|OL688685.1| Coxsackievirus A6 strain AS014/NC/CHN/2016 VP1 gene, partial cds	OL688685	2024-08-07	OL688685
	gi|2326814966|gb|OL688686.1| Coxsackievirus A6 strain AS498/NC/CHN/2015 VP1 gene, partial cds	OL688686	2024-08-07	OL688686
	gi|2326814968|gb|OL688687.1| Coxsackievirus A6 strain AS500/NC/CHN/2015 VP1 gene, partial cds	OL688687	2024-08-07	OL688687
	gi|2326814970|gb|OL688688.1| Coxsackievirus A6 strain AS539/NC/CHN/2015 VP1 gene, partial cds	OL688688	2024-08-07	OL688688
	gi|2326814972|gb|OL688689.1| Coxsackievirus A6 strain AS545/NC/CHN/2015 VP1 gene, partial cds	OL688689	2024-08-07	OL688689
